Number,Name,Type 1,Abilities,HP,Att,Def,Spa,Spd,Spe,BST,Mean,Standard Deviation,Generation,Experience type,Experience to level 100,Final Evolution,Catch Rate,Legendary,Height,Weight,BMI
9,Blastoise,Water,"['Rain Dish', 'Torrent']",79,83,100,85,105,78,530,88.33333333333330,10.386957633921900,1.0,Medium Slow,1059860,1.0,45,0.0,1.6,85.5,33.4
9,Mega Blastoise,Water,['Mega Launcher'],79,103,120,135,115,78,630,105.0,20.952326839757000,6.0,Medium Slow,1059860,1.0,45,0.0,1.6,101.1,39.5
10,Caterpie,Bug,"['Run Away', 'Shield Dust']",45,30,35,20,20,45,195,32.5,10.307764064044200,1.0,Medium Fast,1000000,0.0,255,0.0,0.3,2.9,32.2
11,Metapod,Bug,['Shed Skin'],50,20,55,25,25,30,205,34.166666666666700,13.359349618234500,1.0,Medium Fast,1000000,0.0,120,0.0,0.7,9.9,20.2
12,Butterfree,Bug,['Tinted Lens'],60,45,50,90,80,70,395,65.83333333333330,15.920810978785700,1.0,Medium Fast,1000000,1.0,45,0.0,1.1,32.0,26.4
13,Weedle,Bug,"['Run Away', 'Shield Dust']",40,35,30,20,20,50,195,32.5,10.70436048222090,1.0,Medium Fast,1000000,0.0,255,0.0,0.3,3.2,35.6
14,Kakuna,Bug,['Shed Skin'],45,25,50,25,25,35,205,34.166666666666700,10.172129679778100,1.0,Medium Fast,1000000,0.0,120,0.0,0.6,10.0,27.8
15,Beedrill,Bug,"['Sniper', 'Swarm']",65,90,40,45,80,75,395,65.83333333333330,18.12380264244300,1.0,Medium Fast,1000000,1.0,45,0.0,1.0,29.5,29.5
15,Mega Beedrill,Bug,['Adaptability'],65,150,40,15,80,145,495,82.5,50.22864388639880,6.0,Medium Fast,1000000,1.0,45,0.0,1.4,40.5,20.7
16,Pidgey,Normal,"['Big Pecks', 'Keen Eye', 'Tangled Feet']",40,45,40,35,35,56,251,41.833333333333300,7.197607627229730,1.0,Medium Slow,1059860,0.0,255,0.0,0.3,1.8,20.0
17,Pidgeotto,Normal,"['Big Pecks', 'Keen Eye', 'Tangled Feet']",63,60,55,50,50,71,349,58.16666666666670,7.470311610338320,1.0,Medium Slow,1059860,0.0,120,0.0,1.1,30.0,24.8
18,Pidgeot,Normal,"['Big Pecks', 'Keen Eye', 'Tangled Feet']",83,80,75,70,70,101,479,79.83333333333330,10.605292179955400,1.0,Medium Slow,1059860,1.0,45,0.0,1.5,39.5,17.6
18,Mega Pidgeot,Normal,['No Guard'],83,80,80,135,80,121,579,96.5,22.66237704507920,6.0,Medium Slow,1059860,1.0,45,0.0,2.2,50.5,10.4
19,Rattata,Normal,"['Guts', 'Hustle', 'Run Away']",30,56,35,25,35,72,253,42.16666666666670,16.46629554237650,1.0,Medium Fast,1000000,0.0,255,0.0,0.3,3.5,38.9
19,Alolan Rattata,Dark,"['Gluttony', 'Hustle', 'Thick Fat']",30,56,35,25,35,72,253,42.16666666666670,16.46629554237650,7.0,Medium Fast,1000000,0.0,255,0.0,0.3,3.8,42.2
20,Raticate,Normal,"['Guts', 'Hustle', 'Run Away']",55,81,60,50,70,97,413,68.83333333333330,16.15979235290140,1.0,Medium Fast,1000000,1.0,127,0.0,0.7,18.5,37.8
20,Alolan Raticate,Dark,"['Gluttony', 'Hustle', 'Thick Fat']",75,71,70,40,80,77,413,68.83333333333330,13.334374959313100,7.0,Medium Fast,1000000,1.0,127,0.0,0.7,25.5,52.0
21,Spearow,Normal,"['Keen Eye', 'Sniper']",40,60,30,31,31,70,262,43.66666666666670,15.712698332523600,1.0,Medium Fast,1000000,0.0,255,0.0,0.3,2.0,22.2
22,Fearow,Normal,"['Keen Eye', 'Sniper']",65,90,65,61,61,100,442,73.66666666666670,15.445243784270800,1.0,Medium Fast,1000000,1.0,90,0.0,1.2,38.0,26.4
23,Ekans,Poison,"['Intimidate', 'Shed Skin', 'Unnerve']",35,60,44,40,54,55,288,48.0,8.925618559330590,1.0,Medium Fast,1000000,0.0,255,0.0,2.0,6.9,1.7
24,Arbok,Poison,"['Intimidate', 'Shed Skin', 'Unnerve']",60,95,69,65,79,80,448,74.66666666666670,11.55662388223980,1.0,Medium Fast,1000000,1.0,90,0.0,3.5,65.0,5.3
25,Pikachu,Electric,"['Lightning Rod', 'Static']",35,55,40,50,50,90,320,53.333333333333300,17.716909687891100,1.0,Medium Fast,1000000,0.0,190,0.0,0.4,6.0,37.5
26,Raichu,Electric,"['Lightning Rod', 'Static']",60,90,55,90,80,110,485,80.83333333333330,18.800856954464100,1.0,Medium Fast,1000000,1.0,75,0.0,0.8,30.0,46.9
26,Alolan Raichu,Electric,['Surge Surfer'],60,85,50,95,85,110,485,80.83333333333330,20.292992769809900,7.0,Medium Fast,1000000,1.0,75,0.0,0.7,21.0,42.9
27,Sandshrew,Ground,"['Sand Rush', 'Sand Veil']",50,75,85,20,30,40,300,50.0,23.27373340628160,1.0,Medium Fast,1000000,0.0,255,0.0,0.6,12.0,33.3
27,Alolan Sandshrew,Ice,"['Slush Rush', 'Snow Cloak']",50,75,90,10,35,40,300,50.0,26.29955639676580,7.0,Medium Fast,1000000,0.0,255,0.0,0.7,40.0,81.6
28,Sandslash,Ground,"['Sand Rush', 'Sand Veil']",75,100,110,45,55,65,450,75.0,23.27373340628160,1.0,Medium Fast,1000000,1.0,90,0.0,1.0,29.5,29.5
28,Alolan Sandslash,Ice,"['Slush Rush', 'Snow Cloak']",75,100,120,25,65,65,450,75.0,29.8607881119482,7.0,Medium Fast,1000000,1.0,90,0.0,1.2,55.0,38.2
29,Nidoran♀,Poison,"['Hustle', 'Poison Point', 'Rivalry']",55,47,52,40,40,41,275,45.833333333333300,5.983774357005410,1.0,Medium Slow,1059860,0.0,235,0.0,0.4,7.0,43.8
30,Nidorina,Poison,"['Hustle', 'Poison Point', 'Rivalry']",70,62,67,55,55,56,365,60.833333333333300,5.983774357005410,1.0,Medium Slow,1059860,0.0,120,0.0,0.8,20.0,31.3
31,Nidoqueen,Poison,"['Poison Point', 'Rivalry', 'Sheer Force']",90,92,87,75,85,76,505,84.16666666666670,6.517071598672380,1.0,Medium Slow,1059860,1.0,45,0.0,1.3,60.0,35.5
32,Nidoran♂,Poison,"['Hustle', 'Poison Point', 'Rivalry']",46,57,40,40,40,50,273,45.5,6.370504951205460,1.0,Medium Slow,1059860,0.0,235,0.0,0.5,9.0,36.0
33,Nidorino,Poison,"['Hustle', 'Poison Point', 'Rivalry']",61,72,57,55,55,65,365,60.833333333333300,6.121455890735650,1.0,Medium Slow,1059860,0.0,120,0.0,0.9,19.5,24.1
34,Nidoking,Poison,"['Poison Point', 'Rivalry', 'Sheer Force']",81,102,77,85,75,85,505,84.16666666666670,8.801830617673930,1.0,Medium Slow,1059860,1.0,45,0.0,1.4,62.0,31.6
35,Clefairy,Fairy,"['Cute Charm', 'Friend Guard', 'Magic Guard']",70,45,48,60,65,35,323,53.833333333333300,12.184917817622800,1.0,Fast,800000,0.0,150,0.0,0.6,7.5,20.8
36,Clefable,Fairy,"['Cute Charm', 'Magic Guard', 'Unaware']",95,70,73,95,90,60,483,80.5,13.524668819112200,1.0,Fast,800000,1.0,25,0.0,1.3,40.0,23.7
37,Vulpix,Fire,"['Drought', 'Flash Fire']",38,41,40,50,65,65,299,49.833333333333300,11.363929289153900,1.0,Medium Fast,1000000,0.0,190,0.0,0.6,9.9,27.5
37,Alolan Vulpix,Ice,"['Snow Cloak', 'Snow Warning']",38,41,40,50,65,65,299,49.833333333333300,11.363929289153900,7.0,Medium Fast,1000000,0.0,190,0.0,0.6,9.9,27.5
38,Ninetales,Fire,"['Drought', 'Flash Fire']",73,76,75,81,100,100,505,84.16666666666670,11.451588924201300,1.0,Medium Fast,1000000,1.0,75,0.0,1.1,19.9,16.4
38,Alolan Ninetales,Ice,"['Snow Cloak', 'Snow Warning']",73,67,75,81,100,109,505,84.16666666666670,15.170329228098100,7.0,Medium Fast,1000000,1.0,75,0.0,1.1,19.9,16.4
39,Jigglypuff,Normal,"['Competitive', 'Cute Charm', 'Friend Guard']",115,45,20,45,25,20,270,45.0,33.040379335998300,1.0,Fast,800000,0.0,170,0.0,0.5,5.5,22.0
40,Wigglytuff,Normal,"['Competitive', 'Cute Charm', 'Frisk']",140,70,45,85,50,45,435,72.5,33.509948771471800,1.0,Fast,800000,1.0,50,0.0,1.0,12.0,12.0
41,Zubat,Poison,"['Infiltrator', 'Inner Focus']",40,45,35,30,40,55,245,40.833333333333300,7.861650943380500,1.0,Medium Fast,1000000,0.0,255,0.0,0.8,7.5,11.7
42,Golbat,Poison,"['Infiltrator', 'Inner Focus']",75,80,70,65,75,90,455,75.83333333333330,7.861650943380500,1.0,Medium Fast,1000000,0.0,90,0.0,1.6,55.0,21.5
43,Oddish,Grass,"['Chlorophyll', 'Run Away']",45,50,55,75,65,30,320,53.333333333333300,14.337208778404400,1.0,Medium Slow,1059860,0.0,255,0.0,0.5,5.4,21.6
44,Gloom,Grass,"['Chlorophyll', 'Stench']",60,65,70,85,75,40,395,65.83333333333330,13.969212178533500,1.0,Medium Slow,1059860,0.0,120,0.0,0.8,8.6,13.4
45,Vileplume,Grass,"['Chlorophyll', 'Effect Spore']",75,80,85,110,90,50,490,81.66666666666670,17.950549357115000,1.0,Medium Slow,1059860,1.0,45,0.0,1.2,18.6,12.9
46,Paras,Bug,"['Damp', 'Dry Skin', 'Effect Spore']",35,70,55,45,55,25,285,47.5,14.648663192705800,1.0,Medium Fast,1000000,0.0,190,0.0,0.3,5.4,60.0
47,Parasect,Bug,"['Damp', 'Dry Skin', 'Effect Spore']",60,95,80,60,80,30,405,67.5,20.766559657295200,1.0,Medium Fast,1000000,1.0,75,0.0,1.0,29.5,29.5
48,Venonat,Bug,"['Run Away', 'Tinted Lens']",60,55,50,40,55,45,305,50.833333333333300,6.718548123582130,1.0,Medium Fast,1000000,0.0,190,0.0,1.0,30.0,30.0
49,Venomoth,Bug,"['Shield Dust', 'Tinted Lens', 'Wonder Skin']",70,65,60,90,75,90,450,75.0,11.547005383792500,1.0,Medium Fast,1000000,1.0,75,0.0,1.5,12.5,5.6
50,Diglett,Ground,"['Arena Trap', 'Sand Force', 'Sand Veil']",10,55,25,35,45,95,265,44.16666666666670,26.83540364684100,1.0,Medium Fast,1000000,0.0,255,0.0,0.2,0.8,20.0
50,Alolan Diglett,Ground,"['Sand Force', 'Sand Veil', 'Tangling Hair']",10,55,30,35,45,90,265,44.16666666666670,24.73470346609310,7.0,Medium Fast,1000000,0.0,255,0.0,0.2,1.0,25.0
51,Dugtrio,Ground,"['Arena Trap', 'Sand Force', 'Sand Veil']",35,100,50,50,70,120,425,70.83333333333330,30.05781466145240,1.0,Medium Fast,1000000,1.0,50,0.0,0.7,33.3,68.0
51,Alolan Dugtrio,Ground,"['Sand Force', 'Sand Veil', 'Tangling Hair']",35,100,60,50,70,110,425,70.83333333333330,26.523050771399200,7.0,Medium Fast,1000000,1.0,50,0.0,0.7,66.6,135.9
52,Meowth,Normal,"['Pickup', 'Technician', 'Unnerve']",40,45,35,40,40,90,290,48.333333333333300,18.856180831641300,1.0,Medium Fast,1000000,0.0,255,0.0,0.4,4.2,26.3
52,Alolan Meowth,Dark,"['Pickup', 'Rattled', 'Technician']",40,35,35,50,40,90,290,48.333333333333300,19.29306150465040,7.0,Medium Fast,1000000,0.0,255,0.0,0.4,4.2,26.3
52,Galarian Meowth,Steel,"['Pickup', 'Tough Claws', 'Unnerve']",50,65,55,40,40,40,290,48.333333333333300,9.428090415820630,8.0,Medium Fast,1000000,0.0,255,0.0,0.4,7.5,46.9
53,Persian,Normal,"['Limber', 'Technician', 'Unnerve']",65,70,60,65,65,115,440,73.33333333333330,18.856180831641300,1.0,Medium Fast,1000000,1.0,90,0.0,1.0,32.0,32.0
53,Alolan Persian,Dark,"['Fur Coat', 'Rattled', 'Technician']",65,60,60,75,65,115,440,73.33333333333330,19.29306150465040,7.0,Medium Fast,1000000,1.0,90,0.0,1.1,33.0,27.3
54,Psyduck,Water,"['Cloud Nine', 'Damp', 'Swift Swim']",50,52,48,65,50,55,320,53.333333333333300,5.647024782032470,1.0,Medium Fast,1000000,0.0,190,0.0,0.8,19.6,30.6
55,Golduck,Water,"['Cloud Nine', 'Damp', 'Swift Swim']",80,82,78,95,80,85,500,83.33333333333330,5.647024782032470,1.0,Medium Fast,1000000,1.0,75,0.0,1.7,76.6,26.5
56,Mankey,Fighting,"['Anger Point', 'Defiant', 'Vital Spirit']",40,80,35,35,45,70,305,50.833333333333300,17.658016750347600,1.0,Medium Fast,1000000,0.0,190,0.0,0.5,28.0,112.0
57,Primeape,Fighting,"['Anger Point', 'Defiant', 'Vital Spirit']",65,105,60,60,70,95,455,75.83333333333330,17.658016750347600,1.0,Medium Fast,1000000,1.0,75,0.0,1.0,32.0,32.0
58,Growlithe,Fire,"['Flash Fire', 'Intimidate', 'Justified']",55,70,45,70,50,60,350,58.333333333333300,9.428090415820630,1.0,Slow,1250000,0.0,190,0.0,0.7,19.0,38.8
59,Arcanine,Fire,"['Flash Fire', 'Intimidate', 'Justified']",90,110,80,100,80,95,555,92.5,10.70436048222090,1.0,Slow,1250000,1.0,75,0.0,1.9,155.0,42.9
60,Poliwag,Water,"['Damp', 'Swift Swim', 'Water Absorb']",40,50,40,40,40,90,300,50.0,18.257418583505500,1.0,Medium Slow,1059860,0.0,255,0.0,0.6,12.4,34.4
61,Poliwhirl,Water,"['Damp', 'Swift Swim', 'Water Absorb']",65,65,65,50,50,90,385,64.16666666666670,13.359349618234500,1.0,Medium Slow,1059860,0.0,120,0.0,1.0,20.0,20.0
62,Poliwrath,Water,"['Damp', 'Swift Swim', 'Water Absorb']",90,95,95,70,90,70,510,85.0,10.801234497346400,1.0,Medium Slow,1059860,1.0,45,0.0,1.3,54.0,32.0
63,Abra,Psychic,"['Inner Focus', 'Magic Guard', 'Synchronize']",25,20,15,105,55,90,310,51.66666666666670,35.079275299748600,1.0,Medium Slow,1059860,0.0,200,0.0,0.9,19.5,24.1
64,Kadabra,Psychic,"['Inner Focus', 'Magic Guard', 'Synchronize']",40,35,30,120,70,105,400,66.66666666666670,35.079275299748600,1.0,Medium Slow,1059860,0.0,100,0.0,1.3,56.5,33.4
65,Alakazam,Psychic,"['Inner Focus', 'Magic Guard', 'Synchronize']",55,50,45,135,95,120,500,83.33333333333330,35.433819375782200,1.0,Medium Slow,1059860,1.0,50,0.0,1.5,48.0,21.3
65,Mega Alakazam,Psychic,['Trace'],55,50,65,175,95,150,590,98.33333333333330,48.102898965539400,6.0,Medium Slow,1059860,1.0,50,0.0,1.2,48.0,33.3
66,Machop,Fighting,"['Guts', 'No Guard', 'Steadfast']",70,80,50,35,35,35,305,50.833333333333300,18.12380264244300,1.0,Medium Slow,1059860,0.0,180,0.0,0.8,19.5,30.5
67,Machoke,Fighting,"['Guts', 'No Guard', 'Steadfast']",80,100,70,50,60,45,405,67.5,18.65252440466620,1.0,Medium Slow,1059860,0.0,90,0.0,1.5,70.5,31.3
68,Machamp,Fighting,"['Guts', 'No Guard', 'Steadfast']",90,130,80,65,85,55,505,84.16666666666670,23.702437755546500,1.0,Medium Slow,1059860,1.0,45,0.0,1.6,130.0,50.8
69,Bellsprout,Grass,"['Chlorophyll', 'Gluttony']",50,75,35,70,30,40,300,50.0,17.078251276599300,1.0,Medium Slow,1059860,0.0,255,0.0,0.7,4.0,8.2
70,Weepinbell,Grass,"['Chlorophyll', 'Gluttony']",65,90,50,85,45,55,390,65.0,17.078251276599300,1.0,Medium Slow,1059860,0.0,120,0.0,1.0,6.4,6.4
71,Victreebel,Grass,"['Chlorophyll', 'Gluttony']",80,105,65,100,70,70,490,81.66666666666670,15.456030825826200,1.0,Medium Slow,1059860,1.0,45,0.0,1.7,15.5,5.4
72,Tentacool,Water,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",40,40,35,50,100,70,335,55.833333333333300,22.80655363900670,1.0,Slow,1250000,0.0,190,0.0,0.9,45.5,56.2
73,Tentacruel,Water,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",80,70,65,80,120,100,515,85.83333333333330,18.800856954464100,1.0,Slow,1250000,1.0,60,0.0,1.6,55.0,21.5
74,Geodude,Rock,"['Rock Head', 'Sand Veil', 'Sturdy']",40,80,100,30,30,20,300,50.0,29.43920288775950,1.0,Medium Slow,1059860,0.0,255,0.0,0.4,20.0,125.0
74,Alolan Geodude,Rock,"['Galvanize', 'Magnet Pull', 'Sturdy']",40,80,100,30,30,20,300,50.0,29.43920288775950,7.0,Medium Slow,1059860,0.0,255,0.0,0.4,20.3,126.9
75,Graveler,Rock,"['Rock Head', 'Sand Veil', 'Sturdy']",55,95,115,45,45,35,390,65.0,29.43920288775950,1.0,Medium Slow,1059860,0.0,120,0.0,1.0,105.0,105.0
75,Alolan Graveler,Rock,"['Galvanize', 'Magnet Pull', 'Sturdy']",55,95,115,45,45,35,390,65.0,29.43920288775950,7.0,Medium Slow,1059860,0.0,120,0.0,1.0,110.0,110.0
76,Golem,Rock,"['Rock Head', 'Sand Veil', 'Sturdy']",80,120,130,55,65,45,495,82.5,31.98306843732580,1.0,Medium Slow,1059860,1.0,45,0.0,1.4,300.0,153.1
76,Alolan Golem,Rock,"['Galvanize', 'Magnet Pull', 'Sturdy']",80,120,130,55,65,45,495,82.5,31.98306843732580,7.0,Medium Slow,1059860,1.0,45,0.0,1.7,316.0,109.3
77,Ponyta,Fire,"['Flame Body', 'Flash Fire', 'Run Away']",50,85,55,65,65,90,410,68.33333333333330,14.624940645653500,1.0,Medium Fast,1000000,0.0,190,0.0,1.0,30.0,30.0
77,Galarian Ponyta,Psychic,"['Anticipation', 'Pastel Veil', 'Run Away']",50,85,55,65,65,90,410,68.33333333333330,14.624940645653500,8.0,Medium Fast,1000000,0.0,190,0.0,0.8,24.0,37.5
78,Rapidash,Fire,"['Flame Body', 'Flash Fire', 'Run Away']",65,100,70,80,80,105,500,83.33333333333330,14.624940645653500,1.0,Medium Fast,1000000,1.0,60,0.0,1.7,95.0,32.9
78,Galarian Rapidash,Psychic,"['Anticipation', 'Pastel Veil', 'Run Away']",65,100,70,80,80,105,500,83.33333333333330,14.624940645653500,8.0,Medium Fast,1000000,1.0,60,0.0,1.7,80.0,27.7
79,Slowpoke,Water,"['Oblivious', 'Own Tempo', 'Regenerator']",90,65,65,40,40,15,315,52.5,23.935677693908500,1.0,Medium Fast,1000000,0.0,190,0.0,1.2,36.0,25.0
79,Galarian Slowpoke,Psychic,"['Gluttony', 'Own Tempo', 'Regenerator']",90,65,65,40,40,15,315,52.5,23.935677693908500,8.0,Medium Fast,1000000,0.0,190,0.0,1.2,36.0,25.0
80,Slowbro,Water,"['Oblivious', 'Own Tempo', 'Regenerator']",95,75,110,100,80,30,490,81.66666666666670,25.92724864350670,1.0,Medium Fast,1000000,1.0,75,0.0,1.6,78.5,30.7
80,Mega Slowbro,Water,['Shell Armor'],95,75,180,130,80,30,590,98.33333333333330,46.96334267868460,6.0,Medium Fast,1000000,1.0,75,0.0,2.0,120.0,30.0
80,Galarian Slowbro,Poison,"['Own Tempo', 'Quick Draw', 'Regenerator']",95,100,95,100,70,30,490,81.66666666666670,25.27625148017180,8.0,Medium Fast,1000000,1.0,75,0.0,1.6,70.5,27.5
81,Magnemite,Electric,"['Analytic', 'Magnet Pull', 'Sturdy']",25,35,70,95,55,45,325,54.16666666666670,23.169064624096400,1.0,Medium Fast,1000000,0.0,190,0.0,0.3,6.0,66.7
82,Magneton,Electric,"['Analytic', 'Magnet Pull', 'Sturdy']",50,60,95,120,70,70,465,77.5,23.40761984198020,1.0,Medium Fast,1000000,0.0,60,0.0,1.0,60.0,60.0
83,Farfetch'd,Normal,"['Defiant', 'Inner Focus', 'Keen Eye']",52,90,55,58,62,60,377,62.833333333333300,12.575328579758400,1.0,Medium Fast,1000000,1.0,45,0.0,0.8,15.0,23.4
83,Galarian Farfetch'd,Fighting,"['Scrappy', 'Steadfast']",52,95,55,58,62,55,377,62.833333333333300,14.712995011968900,8.0,Medium Fast,1000000,0.0,45,0.0,0.8,42.0,65.6
84,Doduo,Normal,"['Early Bird', 'Run Away', 'Tangled Feet']",35,85,45,35,35,75,310,51.66666666666670,20.548046676563300,1.0,Medium Fast,1000000,0.0,190,0.0,1.4,39.2,20.0
85,Dodrio,Normal,"['Early Bird', 'Run Away', 'Tangled Feet']",60,110,70,60,60,110,470,78.33333333333330,22.66911751455910,1.0,Medium Fast,1000000,1.0,45,0.0,1.8,85.2,26.3
86,Seel,Water,"['Hydration', 'Ice Body', 'Thick Fat']",65,45,55,45,70,45,325,54.16666666666670,10.172129679778100,1.0,Medium Fast,1000000,0.0,190,0.0,1.1,90.0,74.4
87,Dewgong,Water,"['Hydration', 'Ice Body', 'Thick Fat']",90,70,80,70,95,70,475,79.16666666666670,10.172129679778100,1.0,Medium Fast,1000000,1.0,75,0.0,1.7,120.0,41.5
88,Grimer,Poison,"['Poison Touch', 'Stench', 'Sticky Hold']",80,80,50,40,50,25,325,54.16666666666670,20.08661798865660,1.0,Medium Fast,1000000,0.0,190,0.0,0.9,30.0,37.0
88,Alolan Grimer,Poison,"['Gluttony', 'Poison Touch', 'Power of Alchemy']",80,80,50,40,50,25,325,54.16666666666670,20.08661798865660,7.0,Medium Fast,1000000,0.0,190,0.0,0.7,42.0,85.7
89,Muk,Poison,"['Poison Touch', 'Stench', 'Sticky Hold']",105,105,75,65,100,50,500,83.33333333333330,21.34374745810950,1.0,Medium Fast,1000000,1.0,75,0.0,1.2,30.0,20.8
89,Alolan Muk,Poison,"['Gluttony', 'Poison Touch', 'Power of Alchemy']",105,105,75,65,100,50,500,83.33333333333330,21.34374745810950,7.0,Medium Fast,1000000,1.0,75,0.0,1.0,52.0,52.0
90,Shellder,Water,"['Overcoat', 'Shell Armor', 'Skill Link']",30,65,100,45,25,40,305,50.833333333333300,25.39958442354700,1.0,Slow,1250000,0.0,190,0.0,0.3,4.0,44.4
91,Cloyster,Water,"['Overcoat', 'Shell Armor', 'Skill Link']",50,95,180,85,45,70,525,87.5,44.97684589504550,1.0,Slow,1250000,1.0,60,0.0,1.5,132.5,58.9
92,Gastly,Ghost,['Levitate'],30,35,30,100,35,80,310,51.66666666666670,27.78888666755510,1.0,Medium Slow,1059860,0.0,190,0.0,1.3,0.1,0.1
93,Haunter,Ghost,['Levitate'],45,50,45,115,55,95,405,67.5,27.34806513570320,1.0,Medium Slow,1059860,0.0,90,0.0,1.6,0.1,0.0
94,Gengar,Ghost,['Cursed Body'],60,65,60,130,75,110,500,83.33333333333330,27.028791233711400,1.0,Medium Slow,1059860,1.0,45,0.0,1.5,40.5,18.0
94,Mega Gengar,Ghost,['Shadow Tag'],60,65,80,170,95,130,600,100.0,38.83726732577010,6.0,Medium Slow,1059860,1.0,45,0.0,1.4,40.5,20.7
95,Onix,Rock,"['Rock Head', 'Sturdy', 'Weak Armor']",35,45,160,30,45,70,385,64.16666666666670,44.66697761085800,1.0,Medium Fast,1000000,0.0,45,0.0,8.8,210.0,2.7
96,Drowzee,Psychic,"['Forewarn', 'Inner Focus', 'Insomnia']",60,48,45,43,90,42,328,54.66666666666670,16.888523387857900,1.0,Medium Fast,1000000,0.0,190,0.0,1.0,32.4,32.4
97,Hypno,Psychic,"['Forewarn', 'Inner Focus', 'Insomnia']",85,73,70,73,115,67,483,80.5,16.408839081421900,1.0,Medium Fast,1000000,1.0,75,0.0,1.6,75.6,29.5
98,Krabby,Water,"['Hyper Cutter', 'Sheer Force', 'Shell Armor']",30,105,90,25,25,50,325,54.16666666666670,32.06980234148980,1.0,Medium Fast,1000000,0.0,225,0.0,0.4,6.5,40.6
99,Kingler,Water,"['Hyper Cutter', 'Sheer Force', 'Shell Armor']",55,130,115,50,50,75,475,79.16666666666670,32.06980234148980,1.0,Medium Fast,1000000,1.0,60,0.0,1.3,60.0,35.5
100,Voltorb,Electric,"['Aftermath', 'Soundproof', 'Static']",40,30,50,55,55,100,330,55.0,21.9848432637882,1.0,Medium Fast,1000000,0.0,190,0.0,0.5,10.4,41.6
101,Electrode,Electric,"['Aftermath', 'Soundproof', 'Static']",60,50,70,80,80,150,490,81.66666666666670,32.36081306491270,1.0,Medium Fast,1000000,1.0,60,0.0,1.2,66.6,46.3
102,Exeggcute,Grass,"['Chlorophyll', 'Harvest']",60,40,80,60,45,40,325,54.16666666666670,14.264368973853100,1.0,Slow,1250000,0.0,90,0.0,0.4,2.5,15.6
103,Exeggutor,Grass,"['Chlorophyll', 'Harvest']",95,95,85,125,75,55,530,88.33333333333330,21.34374745810950,1.0,Slow,1250000,1.0,45,0.0,2.0,120.0,30.0
103,Alolan Exeggutor,Grass,"['Frisk', 'Harvest']",95,105,85,125,75,45,530,88.33333333333330,24.94438257849290,7.0,Slow,1250000,1.0,45,0.0,10.9,415.6,3.5
104,Cubone,Ground,"['Battle Armor', 'Lightning Rod', 'Rock Head']",50,50,95,40,50,35,320,53.333333333333300,19.507833184532700,1.0,Medium Fast,1000000,0.0,190,0.0,0.4,6.5,40.6
105,Marowak,Ground,"['Battle Armor', 'Lightning Rod', 'Rock Head']",60,80,110,50,80,45,425,70.83333333333330,22.06367049145620,1.0,Medium Fast,1000000,1.0,75,0.0,1.0,45.0,45.0
105,Alolan Marowak,Fire,"['Cursed Body', 'Rock Head']",60,80,110,50,80,45,425,70.83333333333330,22.06367049145620,7.0,Medium Fast,1000000,1.0,75,0.0,1.0,34.0,34.0
